track_id,title,artist,actor,energy,danceability,valence,image_url
67,Ishq Jalakar-Karvaan,Shashwat Sachdev,Ranveer Singh,0.81,0.79,0.94,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/93/00/5b/93005b2a-b5d1-25f6-156e-eba657f3e9bb/199806529416.jpg/400x400bb.jpg
68,Gehra Hua,Arijit Singh,Ranveer Singh,0.49,0.66,0.35,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/87/0b/a8/870ba8fd-4d3c-2127-1653-39396b132445/199806576946.jpg/400x400bb.jpg
69,Kesariya,Arijit Singh,Ranbir Kapoor,0.57,0.58,0.44,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/9f/13/ca/9f13ca3b-e533-03e0-f19a-f0aaa774581d/196589311191.jpg/592x592bb.webp
70,Deva Deva,Arijit Singh,Ranbir Kapoor,0.72,0.53,0.44,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/68/72/f9/6872f95d-9c56-beb8-2768-a5c07c304ee6/196589383044.jpg/360x360bb.webp
71,Apna Banale,Arijit Singh,,0.56,0.59,0.44,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/29/14/de/2914deba-3fac-4a9a-e493-0efd12bf8c69/840214461774.png/360x360bb.webp
72,Channa Mereya,Arijit Singh,Ranbir Kapoor,0.79,0.48,0.55,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bc/6e/4d/bc6e4d0c-adec-b431-7b60-16f5689f9664/886446201597.jpg/400x400bb.jpg
73,Agar Tum Saath ho,Arijit Singh,Ranbir Kapoor,0.52,0.56,0.42,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/cb/ac/67/cbac673a-9213-7118-bb4e-2440273afb03/8902894357470_cover.jpg/400x400bb.jpg
74,Tum Hi Ho,Arijit Singh,NaN,0.45,0.53,0.32,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bb/23/ee/bb23eeed-0c35-4f1d-2b11-485622777ae4/8902894353007_cover.jpg/400x400bb.jpg
75,Bulleya,Arijit Singh,Ranbir Kapoor,0.77,0.55,0.7,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/cb/ac/67/cbac673a-9213-7118-bb4e-2440273afb03/8902894357470_cover.jpg/400x400bb.jpg
76,Ghoomar,Shreya Ghoshal,Deepika,0.8,0.55,0.74,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/1b/19/26/1b192691-0179-73ab-3ed7-ae2b923ca71a/8902894360005_cover.jpg/360x360bb.webp
